firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
"01029399",5,38.66182,840,2,4165,158,37
"01049818",8,96.45,959.68,2,3561,741,8
"01077709",13,40.19353,28060.19,3,10622,660,40
"01078254",1,42.77249,5016.59,3,6452,660,40
"01079181",17,39.15174,8280.5,1.333333,1449,452,40
"011650",12,27.61426,2200.8,2,1925,452,2
"01172895",2,46.60376,11953.34,3,4709,672,28
"01464722",3,29.45788,26123.52,5,1400,950,28
"01464723",12,74.7899,100,2.5,2119,851,28
"01505521",1,78.9609,15254.52,3,7662,,6
"01556706",6,26.70949,6,2,2036,,16
"01581465",11,40.61223,100,2,14928,332,28
"01581566",1,29.93649,1000,2.333333,928,926,28
"01581855",6,33.07101,360,1,5204,14,28
"01584625",3,40.24674,11706.08,1.666667,3938,452,28
"01586601",2,46.31466,19713.89,2,2708,,28
"01632431",15,36.76788,134.48,1,2660,222,37
"01632549",1,37.5209,7685,5,1182,741,37
"01639857",1,40.61743,1381.44,1,531,,40
"01739006",0,29.0562,2800,2,10042,,6
"01907521",14,38.82219,7048.2,2,7238,454,13
"02080389",14,23.26371,490,1,434,,16
"021445",13,120.485,1632.61,2,7518,741,3
"02458107",8,19.37337,532.8,1.5,456,,6
"02513399",4,35.58628,150,3,2433,522,28
"02513521",0,49.15278,14400,2,7669,930,28
"02514910",1,24.55658,175,1,3491,930,28
"02549586",1,36.13692,1200,1,881,,37
"02634739",2,29.72977,577.98,3,2524,742,5
"02635451",1,38.80389,1600,1,90,,6
"0268798",23,52.31802,27.06,4,1125,,46
"02688072",3,43.69112,276.3,1,16861,504,24
"02695951",7,30.1,3600,1,7669,553,28
"02697396",1,31.66357,1133.27,1,361,,3
"0342047",29,35.35557,800,1.5,12131,,10
"0343309",1,32.64378,1045,2,5395,,10
"0344485",5,35.30704,465,1,1797,451,10
"0350318",2,28.60581,1436,1.6,1886,13,10
"0393024",21,370.7679,710,3,8218,,12
"0398762",18,36.07014,2887.572,2,14950,672,13
"0399482",3,34.38274,2083.33,2,13423,,13
"0400455",14,47.04584,3610,1,16054,159,13
"0405772",3,40.58899,14600,2,5096,,13
"0602192",8,69.0411,157.8,3,6137,741,24
"0602505",7,43.792,2520,3,5613,853,24
"0641108",1,45.86153,5449.96,3,40,742,27
"0666578",6,49.91384,485,2,14212,524,28
"0668928",2,31.86644,647.97,1,1868,,6
"0670274",12,25.49611,2400,5,15042,741,28
"0670913",73,26.25598,12460.86,1.333333,1886,,14
"0672302",2,42.64548,2400,0,8705,,28
"0672483",2,30.67759,20629.9,2,3578,,28
"0678270",9,27.84841,1500,2,5057,711,28
"0679358",5,52.49096,2155,5,5920,741,28
"0684115",4,32.00811,816,2,3407,554,28
"0684466",7,50.71227,20088.8,1,15042,,28
"0686349",17,45.01767,27500,2,2190,454,28
"0686931",17,41.82011,100,2.5,14670,804,28
"0691074",4,38.998,1081.8,5,6194,553,28
"0727409",2,40.64986,173.15,2,1424,672,28
"0735283",13,49.56817,75,2.5,2465,524,28
"0764660",25,32.25303,483.51,1.5,1886,11,23
"085119",0,33.52,1177,2,9768,452,5
"091268",3,40.52074,3245.52,1,7871,,6
"092039",2,40.93254,3500,3,7712,453,6
"092252",6,40.06648,275,1,7728,,6
"092910",6,48.18509,1928.803,1,4596,672,6
"0941851",3,30.38673,2714,1.666667,2583,524,33
"094784",2,36.24745,180,1,5812,,6
"094800",0,29.21838,626.57,2,3577,159,6
"A1001671",80,94.29913,700,2.714286,15553,246,36
"A1001680",157,45.15569,38500,1.8125,22310,152,36
"A1001685",614,75.15762,51078.58,1.5,20209,151,36
"A1001686",116,155.6783,930.9392,2.9,15888,244,36
"A1001697",156,38.93095,15737.78,1.578947,12043,,15
"A1001701",18,50.82329,8750,3,18837,,36
"A1001704",80,48.18717,36388.78,2,12386,,27
"A1001707",22,40.4132,250,3,12165,,36
"A1001708",44,103.7615,3230.66,2.167785,7917,451,12
"A1001717",282,51.41627,21035.42,1.473684,11169,452,36
"A1001718",85,45.09192,3000,2.25,10956,513,36
"A1001731",0,38.88245,806.76,1.5,9891,158,36
"A1001733",111,32.94981,48091.82,1.6,9436,152,36
"A1001787",26,30.48668,1282.57,2,8246,,29
"A1001799",0,172.8205,516.41,2.333333,3317,50,36
"A1001817",12,23.26697,2961.28,1,6879,,36
"A1001819",32,39.32432,49387.65,2,7767,252,36
"A1001824",196,42.47833,1529.41,1.9,2638,521,47
"A1001830",28,45.96964,2500,2.384615,6046,913,15
"A1001846",18,26.28339,940,1.5,1886,11,36
"A1001852",109,96.2493,4500,2,7298,281,36
"A1001868",14,62.15,1947.13,1,7083,451,36
"A1002044",260,32.99762,1352.01,1.692308,3957,,46
"A1002308",22,91.08887,76898,2,6640,,36
"A1002386",34,98.22903,5372,2.166667,305,,36
"A1006863",0,60.64043,53873.81,2.375,6604,267,36
"A1014135",63,52.77752,2200,1.666667,8092,295,36
"A1014146",39,48.54839,14732.5,2.333333,6158,452,36
"A1015435",47,26.49202,450,1.75,1521,,36
"A1015745",43,48.43835,900,5,8748,,36
"A1016116",130,30.6147,107106.3,2.666667,2251,244,36
"A1016851",0,66.6526,12000,1.5,1645,746,11
"A1017173",56,61.84634,1598.85,1.5,4277,,36
"A1017248",3,70.54479,999.99,3,972,452,15
"A1018944",41,49.54946,25389.54,2.333333,2905,267,36
"A1020132",37,45.44524,4604.76,2,2183,361,36
"A1021335",303,70.65765,247.8325,2.595041,12495,633,8
"A1021341",51,101.2116,490.6029,2.893617,15042,651,24
"A1021360",20,52.67908,22622,2.5,16993,159,37
"A1021364",306,92.72218,6360,3,19753,244,37
"A1021365",21,57.52074,2424.98,2.5,21367,922,37
"A1021368",24,52.62225,10075.5,1.5,13571,182,37
"A1021380",42,50.75422,5780.78,2.8,19491,221,37
"A1021422",38,44.67004,30281.38,2.833333,8866,452,5
"A1021428",72,80.81354,3954.062,2.5,8641,221,37
"A1021461",50,52.19109,18737.67,2.333333,8015,151,37
"A1021486",28,50.73436,12000,2,7700,,37
"A1021542",49,41.87903,4000,1.666667,6922,151,37
"A102499",12,38.93209,3184,1,6201,,6
"A1025445",8,43.57814,2240,3,12966,157,37
"A102632",25,29.74488,800,1.529412,1886,11,6
"A102756",30,56.31279,75,2.5,183,153,6
"A1030053",38,56.77592,107582.4,3,4801,,37
"A103008",7,39.82318,1825,2.5,5325,501,10
"A1030168",21,62.75737,6480,3,4634,804,37
"A103153",5,199.4546,26558.57,3,5564,,6
"A1032266",13,56.82389,100,3,1165,,37
"A1032501",172,94.83523,4693.98,2.366667,18732,631,35
"A1032502",503,29.255,79.33,1.229508,1886,11,3
"A1032503",21,59.84496,248.5,2.222222,13026,522,35
"A1032506",0,50.85937,893,1.583333,3804,551,35
"A1032507",86,35.49429,309.09,2,5659,524,38
"A1032510",7,44.72869,6916.77,2,14919,,38
"A1032515",11,87.18983,428.03,0,19997,,38
"A1032516",71,29.5162,12167.7,2,4169,502,38
"A1032517",175,124.9405,53866.44,2.125,12866,159,35
"A1032523",216,103.0871,8660.13,2.222222,16919,,38
"A1032533",28,36.09985,322.33,1.4,8521,524,35
"A1032535",35,56.89563,64,2.166667,3703,454,38
"A1032543",34,74.14178,2117.67,1.75,13818,501,38
"A1032547",70,53.72321,5494.53,1.571429,12860,551,38
"A1032553",5,29.45095,768.03,1,5477,,38
"A1032570",66,66.00908,5324.5,2,12169,410,38
"A1032572",55,37.22386,74000.01,1.285714,11680,524,35
"A1032574",119,1364.329,2761.575,2.5,12631,,38
"A1032584",0,42.50856,16440.06,3.090909,14919,851,38
"A1032585",173,42.89751,452.4,2.130435,3820,505,38
"A1032588",37,64.29315,14578.72,2,11598,,38
"A1032610",57,45.13017,1652,1.7,1278,,35
"A1032612",134,127.7258,1832.392,2.8,10897,221,38
"A1032613",54,97.01968,5129.112,3,10925,701,38
"A1032619",47,59.94614,5084.36,2.5,4169,,38
"A1032624",55,42.70712,2274.2,1.8,7880,513,35
"A1032627",26,54.56192,3825,2.5,10578,501,38
"A1032639",4,41.76197,10788.07,2,1452,,38
"A1032655",360,36.71248,215.01,1.72093,7567,524,35
"A1032694",5,65.78824,7420.593,1.5,9071,633,38
