size,wage,profit
1.0,38.00548,4822.5
1.0,100.524007741,4725.96633403
1.13117066291,61.0910287619,3948.57411368
2.0,58.990465488,3727.19732172
2.45275035261,71.8776467238,4783.73926728
3.0,56.1409505793,3396.55487817
3.75317348378,138.911188747,3400.24502694
4.14527503526,56.2152813652,4626.8452055
5.0,51.9766509296,3654.51460268
5.56558533145,58.5590014714,3854.73622482
6.10563380282,59.4148728235,4280.24217917
7.0,57.6549337396,3808.88573839
7.56558533145,65.1696097542,3851.24813691
8.18617771509,57.2657480456,3852.40908829
9.0,52.7376174317,4152.04742708
9.75211267606,62.2104255566,5074.22119296
10.3624823695,67.945000336,6260.67609633
11.1410437236,54.5365028642,3093.23251223
12.0,59.9581313018,4111.70231805
12.8464788732,57.51406749,4018.08056479
13.533145275,65.4871716841,4027.60601815
14.2778561354,58.3550348094,3987.10561199
15.2355430183,56.4154074039,4468.62974245
16.1946403385,55.8467399649,4904.16148561
17.0718309859,53.4203666507,5266.42659296
18.1170662906,65.7513308186,6317.09100512
19.1311706629,57.5691017165,4785.23154518
20.1029619182,54.4901062638,5379.82952087
21.1241184767,60.7296230127,4772.06336728
22.2056338028,64.5703153234,3663.13497268
23.2228490832,68.7867667683,4283.28666573
24.3610719323,83.8547583597,5853.17687701
25.5007052186,53.381072457,4561.7410165
26.6661971831,61.8639970648,6309.49861493
27.9858956276,56.3992459219,4429.33084415
29.215796897,61.7895005642,5361.24239168
30.4724964739,56.9905357165,3881.76168223
31.7390691114,64.0171818347,4837.75484076
33.123943662,65.0471755254,8601.3521569
34.3906911142,56.5754432712,4682.29105557
35.6417489422,55.5229966821,5905.70447447
37.2581100141,73.6627248121,6789.19980042
38.6375176305,62.2626393986,3826.87756982
40.2704225352,60.3386249544,5344.85582144
41.6403385049,65.7551241039,4578.20186897
43.3385049365,55.7685199676,6575.33434856
45.2440056417,63.6449446409,5536.73520367
46.7813822285,63.300894877,5038.11123822
48.5464788732,63.1389962927,4535.3433493
50.4894217207,55.7609555783,7935.38063145
52.5966149506,60.7727643498,7811.83479661
54.6643159379,83.2081869436,5086.72726079
56.8549295775,65.0919469437,5270.38658042
59.4174894217,73.2008492385,5069.05766361
61.8716502116,58.5744696291,5655.78631114
64.2256699577,62.792785455,9042.37875966
66.7418899859,64.575136047,6513.48473061
69.6197183099,62.2515349301,5421.02136056
72.2087447109,61.1679991158,7007.37301791
74.9492242595,62.0273786123,6232.66893484
77.8970380818,58.6857883862,7605.64607532
80.8702397743,66.2859567024,7902.39359379
83.9661971831,64.8380021392,7945.81516748
87.3215796897,63.4317930147,3666.29709549
90.8885754584,64.1094661205,5967.64327827
94.7023977433,151.236393654,4842.26866753
97.7873239437,58.7073026654,4683.55436577
101.452750353,64.1800165614,4156.40753018
105.389280677,68.4672549103,7713.01299661
108.981664316,65.2838604951,5458.69085331
113.277856135,66.6031580135,5703.17101461
118.069014085,68.8315716,7473.35131648
122.898448519,75.4065695261,6064.44396544
128.757404795,67.9558969251,6195.12230945
133.921015515,68.2494170465,5034.36090564
139.987306065,70.8856224394,6339.2632866
146.545070423,64.6138256366,5941.81233234
152.262341326,71.9510927461,6461.95892976
157.747531735,59.9591723092,6516.61335915
164.452750353,63.0527072214,6288.72419027
171.717912553,65.753854292,10057.8897439
179.685915493,69.1106859382,8460.94298648
190.830747532,76.0859942873,6911.98473836
201.590973202,69.4477889415,6022.97526968
212.026798307,75.0593869519,4289.4169409
223.592957746,66.4122935811,7867.79959169
235.847672779,142.070913673,7340.77633286
250.818053597,79.8528822385,5699.8808974
271.523272214,74.4206062748,6756.37381481
293.657263752,70.5947954795,8453.56329563
319.404225352,74.6879253704,10688.825222
349.355430183,83.1375194803,7183.26740874
384.014104372,74.5863094763,11567.3704976
425.310296192,90.3969437604,10919.7129052
473.451339915,76.708841315,7684.99428843
532.887323944,79.5577681508,6669.71733789
629.004231312,81.3193888886,10406.609669
793.557122708,79.8432417753,7698.47678181
1155.7574048,89.7115279817,10064.7708903
